model,overall_accuracy,invalid_rate,valid_count,total
qwen/qwen3-32b,0.7909,0.0000,110,110
llama-3.1-8b-instant,0.4455,0.0000,110,110
openai/gpt-oss-120b,0.9451,0.1727,91,110

model,subject,accuracy
qwen/qwen3-32b,abstract_algebra,0.6000
qwen/qwen3-32b,anatomy,0.8000
qwen/qwen3-32b,astronomy,1.0000
qwen/qwen3-32b,college_biology,1.0000
qwen/qwen3-32b,college_chemistry,0.8000
qwen/qwen3-32b,college_computer_science,0.8000
qwen/qwen3-32b,college_mathematics,0.6000
qwen/qwen3-32b,college_physics,0.6000
qwen/qwen3-32b,conceptual_physics,1.0000
qwen/qwen3-32b,electrical_engineering,0.8000
qwen/qwen3-32b,elementary_mathematics,0.8000
qwen/qwen3-32b,formal_logic,0.8000
qwen/qwen3-32b,high_school_biology,1.0000
qwen/qwen3-32b,high_school_chemistry,0.8000
qwen/qwen3-32b,high_school_mathematics,0.6000
qwen/qwen3-32b,high_school_physics,0.6000
qwen/qwen3-32b,machine_learning,0.8000
qwen/qwen3-32b,philosophy,0.8000
qwen/qwen3-32b,professional_law,0.6000
qwen/qwen3-32b,professional_medicine,1.0000
qwen/qwen3-32b,professional_psychology,0.8000
qwen/qwen3-32b,world_religions,0.8000
llama-3.1-8b-instant,abstract_algebra,0.4000
llama-3.1-8b-instant,anatomy,0.8000
llama-3.1-8b-instant,astronomy,0.4000
llama-3.1-8b-instant,college_biology,0.6000
llama-3.1-8b-instant,college_chemistry,0.2000
llama-3.1-8b-instant,college_computer_science,0.2000
llama-3.1-8b-instant,college_mathematics,0.4000
llama-3.1-8b-instant,college_physics,0.4000
llama-3.1-8b-instant,conceptual_physics,0.4000
llama-3.1-8b-instant,electrical_engineering,1.0000
llama-3.1-8b-instant,elementary_mathematics,0.4000
llama-3.1-8b-instant,formal_logic,0.2000
llama-3.1-8b-instant,high_school_biology,1.0000
llama-3.1-8b-instant,high_school_chemistry,0.2000
llama-3.1-8b-instant,high_school_mathematics,0.0000
llama-3.1-8b-instant,high_school_physics,0.4000
llama-3.1-8b-instant,machine_learning,0.2000
llama-3.1-8b-instant,philosophy,0.4000
llama-3.1-8b-instant,professional_law,0.2000
llama-3.1-8b-instant,professional_medicine,0.4000
llama-3.1-8b-instant,professional_psychology,0.8000
llama-3.1-8b-instant,world_religions,0.8000
openai/gpt-oss-120b,abstract_algebra,1.0000
openai/gpt-oss-120b,anatomy,0.8000
openai/gpt-oss-120b,astronomy,1.0000
openai/gpt-oss-120b,college_biology,1.0000
openai/gpt-oss-120b,college_chemistry,1.0000
openai/gpt-oss-120b,college_computer_science,1.0000
openai/gpt-oss-120b,college_mathematics,1.0000
openai/gpt-oss-120b,college_physics,1.0000
openai/gpt-oss-120b,conceptual_physics,1.0000
openai/gpt-oss-120b,electrical_engineering,1.0000
openai/gpt-oss-120b,elementary_mathematics,1.0000
openai/gpt-oss-120b,formal_logic,1.0000
openai/gpt-oss-120b,high_school_biology,1.0000
openai/gpt-oss-120b,high_school_chemistry,1.0000
openai/gpt-oss-120b,high_school_mathematics,0.7500
openai/gpt-oss-120b,high_school_physics,0.5000
openai/gpt-oss-120b,machine_learning,1.0000
openai/gpt-oss-120b,philosophy,1.0000
openai/gpt-oss-120b,professional_law,0.6667
openai/gpt-oss-120b,professional_medicine,1.0000
openai/gpt-oss-120b,professional_psychology,1.0000
openai/gpt-oss-120b,world_religions,1.0000

model,domain,accuracy
qwen/qwen3-32b,STEM,0.7882
qwen/qwen3-32b,Humanities,0.8000
qwen/qwen3-32b,Social Science,0.8000
llama-3.1-8b-instant,STEM,0.4235
llama-3.1-8b-instant,Humanities,0.6000
llama-3.1-8b-instant,Social Science,0.4667
openai/gpt-oss-120b,STEM,0.9429
openai/gpt-oss-120b,Humanities,1.0000
openai/gpt-oss-120b,Social Science,0.9167
